Tweet,Correct Sentiment,Predicted Sentiment
sabia que rt los usuario del #ipad desayun y cen con la #tableta de @apple: url,irrelevant,irrelevant
cenaz nedeniyl kapalıyız @apple url,irrelevant,neutral
#deal & #schnäppchen update: [ipad] ipad 1 gen generalüberholt ab 389 € @apple - url,irrelevant,irrelevant
olh aqu @apple: na proxim atualizaçao eu quero um atalho pra ligar/deslig a 3g ok aff fazem tudo pel metad steved um jeito ai,irrelevant,irrelevant
me acabo de convertir en un #fanboy de @apple el ipad2 con el crist roto y me lo camb aunqu no lo cubr la garantí increíbl,irrelevant,irrelevant
new ar and 70 perc off clear of match g url @apple,irrelevant,neutral
@apple hah no fuck that it stil took sux and a half hour and i hav to be up at 7,irrelevant,negative
curso de dj na @apple em brev informaço 30114020 ou 91287199 msn: dj_sandrocosta,irrelevant,irrelevant
partn with @apple i&#39;d pay price-dollars for anibulb &quot; would you pay price-dollars for thi lightbulb url,irrelevant,neutral
#blackberry #rim est tratando de abarc el mercado imitando a android y en cierta cosa a @apple pero sincera no creo que llegu em-smile,irrelevant,irrelevant
rt thi mom w/ & is brought to you by @apple oh and url,irrelevant,neutral
do not check oth sit for ed hardy black long sl url @apple,irrelevant,neutral
quiero migr @apple,irrelevant,irrelevant
as o mas mal la #version50 de @apple,irrelevant,irrelevant
おっとー、出演者ショップスが抜けてた -- new mov: ショウケース@apple stor 銀座 記録 / starring:ichiro_repeat patterncoff shopsmod → url,irrelevant,irrelevant
find mor the best mayt wash control board dealcheck pric url @apple,irrelevant,neutral
oh putain… jai vidé mon spam il y a peu… le mail de applecert@applecom est dan ce quil reste…,irrelevant,irrelevant
teach different: iteach theref iam url @apple #ipad #stevejobs,irrelevant,neutral
bellissimo video sono sempr più convinto di prend un @apple iphon e gett via il n97 che mi ritrovo,irrelevant,irrelevant
クック@applecom？,irrelevant,irrelevant
today very cheap for 2198597 icemakerand fre ship for 2198597 icemak too url @apple,irrelevant,neutral
descuento y offerta par applicac de @apple url #mobil,irrelevant,irrelevant
un abrazo a tod desd el @apple stor en #newyork es un hon sumars a la gent que honr la memor y el #genio de #stevejobs,irrelevant,irrelevant
today very cheap for patio furnit san anton url @apple,irrelevant,neutral
mai moi je voudra pas que @apple don mon fichy mar dêtre spammé par les journaux désespérés,irrelevant,irrelevant
se tan arruinando mis audifono d mi #iphone @apple qui me qui regal uno url,irrelevant,irrelevant
rt new mov: ショウケース@apple stor 銀座 記録 / starring:ichiro_ rep pattern mod → url,irrelevant,irrelevant
rt en la tiend de @apple wooooow que legado dejast #stevejobs iadmir u está repletoooo iful lol,irrelevant,irrelevant
contr todo pronóstico podrí ser el fabr del #chipa6 par @apple url,irrelevant,irrelevant
rt rt @apple no pas nad todo est bien no pas nad todo est en ord url,irrelevant,irrelevant
discount hemp knot todaycheap pric toosav money for best hemp knot url @apple,irrelevant,neutral
rt las aplicac más popul par iphon (vía appleweblog) url #iphone @apple,irrelevant,irrelevant
en @apple mucho diseño pero llevo med hor esperando a mi clas que poc formalidad,irrelevant,irrelevant
ah yeahshould be an optionhop @apple fig that out thx,negative,neutral
is it me or doe #iphone4s run a littl warm sometim @apple,negative,neutral
dear @apple pleas send me my mac book back sur the repair is don by now thank,negative,neutral
on hold for anoth half hour phon is ring but no on is pick up@apple you stink,negative,neutral
2nd @apple geni appt run lat 2nd day in row for 2nd dodgy ipod you mak meg price-dollarsprice-dollarsprice-dollars hir som staff,negative,neutral
hey @apple the sms ful mess is complet shit ye im annoy,negative,negative
damn it @apple whatchu don to my phon,negative,neutral
is cloudy @apple tech not very techy,negative,neutral
correction: best buy kudo to chris alamo ranch sa tx-fixed issu couldnt resolv aft 1/2 day w/ & @apple hero of my day,negative,negative
