Tweet,Correct Sentiment,Predicted Sentiment
sabia que rt los usuario del #ipad desayun y cen con la #tableta de @apple: url,irrelevant,irrelevant
cenaz nedeniyl kapalu0131yu0131z @apple url,irrelevant,neutral
#deal & #schnu00e4ppchen update: [ipad] ipad 1 gen generalu00fcberholt ab 389 u20ac @apple - url,irrelevant,irrelevant
olh aqu @apple: na proxim atualizau00e7ao eu quero um atalho pra ligar/deslig a 3g ok aff fazem tudo pel metad steved um jeito ai,irrelevant,irrelevant
me acabo de convertir en un #fanboy de @apple el ipad2 con el crist roto y me lo camb aunqu no lo cubr la garantu00eda increu00edble,irrelevant,irrelevant
new ar and 70 perc off clear of match g url @apple,irrelevant,neutral
@apple hah no fuck that it stil took sux and a half hour and i hav to be up at 7,irrelevant,negative
curso de dj na @apple em brev informau00e7oes 30114020 ou 91287199nmsn: dj_sandrocosta,irrelevant,irrelevant
partn with @apple i&#39;d pay price-dollars for anibulb &quot; would you pay price-dollars for thi lightbulb url,irrelevant,neutral
#blackberry #rim est tratando de abarc el mercado imitando a android y en cierta cosa a @apple pero sincera no creo que llegu em-smile,irrelevant,irrelevant
rt thi mom w/ & is brought to you by @apple oh and url,irrelevant,irrelevant
do not check oth sit for ed hardy black long sl url @apple,irrelevant,neutral
quiero migr @apple,irrelevant,neutral
as o mas mal la #version50 de @apple,irrelevant,irrelevant
u304au3063u3068u30fcu3001u51fau6f14u8005u30b7u30e7u30c3u30d7u30b9u304cu629cu3051u3066u305f -- new mov: \u30b7u30e7u30a6u30b1u30fcu30b9@apple stor u9280u5ea7 u8a18u9332 / starring:ichiro_,irrelevant,irrelevant
find mor the best mayt wash control board dealcheck pric url @apple,irrelevant,irrelevant
oh putainu2026 jai vidu00e9 mon spam il y a peuu2026 le mail de applecert@applecom est dan ce quil resteu2026,irrelevant,irrelevant
teach different: iteach theref iam url @apple #ipad #stevejobs,irrelevant,neutral
bellissimo video sono sempr piu00f9 convinto di prend un @apple iphon e gett via il n97 che mi ritrovo,irrelevant,irrelevant
u30afu30c3u30af@applecomuff1f,irrelevant,neutral
today very cheap for 2198597 icemakerand fre ship for 2198597 icemak too url @apple,irrelevant,irrelevant
descuento y offerta par applicac de @apple url #mobil,irrelevant,irrelevant
un abrazo a tod desd el @apple stor en #newyork es un hon sumars a la gent que honr la memor y el #genio de #stevejobs,irrelevant,irrelevant
today very cheap for patio furnit san anton url @apple,irrelevant,neutral
mai moi je voudra pas que @apple don mon fichy mar du00eatre spammu00e9e par les journaux du00e9sespu00e9ru00e9s,irrelevant,irrelevant
se tan arruinando mis audifono d mi #iphone @apple qui me qui regal uno url,irrelevant,irrelevant
rt new mov: \u30b7u30e7u30a6u30b1u30fcu30b9@apple stor u9280u5ea7 u8a18u9332 / starring:ichiro_,irrelevant,irrelevant
rt en la tiend de @apple wooooow que legado dejast #stevejobs iadmir u estu00e1 repletoooo iful lol,irrelevant,irrelevant
contr todo pronu00f3stico podru00eda ser el fabr del #chipa6 par @apple url,irrelevant,irrelevant
rt rt @apple no pas nad todo est bien no pas nad todo est en ord url,irrelevant,irrelevant
discount hemp knot todaycheap pric toosav money for best hemp knot url @apple,irrelevant,irrelevant
rt las aplicac mu00e1s popul par iphon (vu00eda appleweblog) url #iphone @apple,irrelevant,irrelevant
en @apple mucho diseu00f1o pero llevo med hor esperando a mi clas que poc formalidad,irrelevant,irrelevant
ah yeahshould be an optionhop @apple fig that out thx,negative,neutral
is it me or doe #iphone4s run a littl warm sometim @apple,negative,neutral
dear @apple pleas send me my mac book back sur the repair is don by now thank,negative,negative
on hold for anoth half hour phon is ring but no on is pick up@apple you stink,negative,neutral
2nd @apple geni appt run lat 2nd day in row for 2nd dodgy ipod you mak meg price-dollarsprice-dollarsprice-dollars hir som staff,negative,neutral
hey @apple the sms ful mess is complet shit ye im annoy,negative,negative
damn it @apple whatchu don to my phon,negative,neutral
is cloudy @apple tech not very techy,negative,negative
correction: best buy kudo to chris alamo ranch sa tx-fixed issu couldnt resolv aft 1/2 day w/ & @apple hero of my day,negative,negative
comp #live with @google #apps and @apple #icloud i do not see #icloud lead the crowd do you agr,negative,neutral
look lik @apple did not appropry project the resourc nee for sir not very rely,negative,neutral
ios5 has on problem when i sav someon in my contact they dont show his nam becuz of the region/ +965 @apple #apple,negative,negative
had ma ipa not 24 hour an i jailbrok itnow it shag itun wont letm rest it @apple sym,negative,negative
i real hat that @apple wont let you hid the newsstand ap or mov it into a fold it serv no purpos for me,negative,negative
it would be gre if @apple would send my new phon #frustrated,negative,neutral
@apple yo serv expery is real fuck slip (except for cut eyelash bat girlies) ( appl store) url,negative,negative
rt lie @apple the battery on thi new iphone4s is definit not any bet,negative,irrelevant
bum my ipad fantasy footbal ap keep crashing; not sur if it the ap or the new @apple io 5 on two ap run,negative,neutral
@apple sir is down,negative,neutral
rt @apple iphon r 2 expend most went w/ htc/galaxy no custom loyal w/phone comp,negative,negative
@apple wtf why can we not ad the newsstand to a fold we ar already in yo wal gard so pleas dont remind us of it,negative,negative
yeah exceiv that when you ask for a receipt it tak them 30 minut to fig out wher it print out fix that @apple,negative,neutral
@apple #ios5 has been noth but a pain in the ass no room for my mus or photo or ap can i undo thi garb,negative,negative
i hat you @apple for not send toledooh any for ev aft i pre ord,negative,negative
samsung seek iphon 4s ban in jap and australianp war intens with injunct sought against @apple url,negative,neutral
@apple if you want to know what custom think dont send upd with the noreply return address who inv that anyway #useless,negative,neutral
@apple wish i could pick mon day and year when set a new calend item on my iphon why hasnt the new io fix thi yet,negative,negative
boy could @apple mak it any hard to put my purchas mus from the cloud on to my new macbook pro you must auth thi computeru2026,negative,negative
wher is my iphonen@apple,negative,neutral
@apple #ios5 nonstop drop calls&mute button random activating&person cant hear me pul phon from ear to be on a mobl me screen,negative,negative
u201c dear @apple why you gott go chang the way &lt;input type=number&gt; is handl out of the blueu201d,negative,neutral
stil no word on my iphone4s preord best buy blam sprint sprint blam @apple i just want an honest answ #help,negative,positive
every tim i try the voic control on my ipod touch to send an imess it start play who knew by pink stil not flawless @apple,negative,neutral
@apple not happy with appl today i did the suggest softw upd and now noth work,negative,negative
@apple #ios5 on iphone2 caus camer ap dil problem & freez,negative,negative
the on #iphone feat stil miss sint @apple first show it contact pict on the contact list simpl yet 5 maj upd miss,negative,negative
@apple sir has work for me less than 10% of the tim if serv doesnt improv by monday im return my iphon 4s,negative,negative
itun is @apples worst produc wors than the #newton or the hockey puck mous it ut pain to us,negative,neutral
ok idk wth is up but aft synt my phon my alb art is out of ord wtf @apple,negative,negative
but sery @apple fin me a damn phon you greedy bastard or santaget yo jol ass in gear and get us a 4s - whit plz,negative,neutral
*sigh* @apple stor seem stump what to do about my catastroph bad battery lif aft upgrad to #ios5,negative,negative
@apple - why do i hav to hav ap i am upd in their origin fold loc that was pain,negative,neutral
you can mak photo album in the photo ap with io 5 but cant password protect them um @apple fix that quick,negative,neutral
my @apple keyboard wil not typ em-sad,negative,negative
thi rt look lik @apple did not appropry project the resourc nee for sir not very rely,negative,neutral
@apple no loc remind on ipad2 that was the point of upd to io 5,negative,neutral
@apple just now see non of my microsoft off program work anym aft lion upgrad why,negative,negative
smash yet anoth #iphone screen when ar @apple gonn mak the phon mor dur tir of fix it myself,negative,negative
man that sux @apple io5 upgrad a tot #fail for you,negative,negative
ask #siri wher baby lis and was told sorry,negative,neutral
anyon els see miss sign bar on their #iphone 3gs with an upgrad to #ios5 cc/ @applecanada @apple,negative,neutral
#dontbemadatmebecause #android is by far bet than @apple,negative,positive
piss with whoev design keyboard with @apple for not hav a hom and end key work on the cli i us thos key oft,negative,neutral
deu00e1r icloud i hat u and i hop you die you ar the worst fuck inv in the world fuck youuuuuuuuuuuu #icloud @apple,negative,negative
see @apple that what hap when you releas iphon 4s with sam crappy design as the old phon,negative,neutral
@apple cant send me an iphon preord 1hr aft launch but they can send 5 or 10 to al the jackass who want to shoot or blend em,negative,negative
@apple why is my iphon battery so crappy #fail,negative,negative
so s iphon 4 is giv her a hell hard tim w/ the ios5 upd @apple,negative,negative
yo @apple thi upd is a disast,negative,neutral
@apple domain fail op 2 hrs lat for walk in ppl stor was empty and i on nee a skin 4 my screen you repres custom serv fail,negative,negative
@apple u guy ar gay,negative,neutral
rememb @apple is evil #icloud ent the #dropbox market,negative,negative
im suspect @apple tim the health-decline of my iphon 4 perfect with the iphon 4s releas my battery is sery ail,negative,negative
@apple & u cannot tel me ther isnt at least 1 64gb iphon 4s in la or vega giv me a fuck break,negative,negative
@apple #ios5 #geolocation suburb with 2 word drop map pin in oth stat pleas fix,negative,negative
fuck u @apple,negative,irrelevant
i sur as hel bet be abl to rest my calend ev terr bug appl @apple #icloud #anothericloudfail,negative,negative
hop it a smal bug @apple must be fix it right appl }:0( n#itjustworks,negative,negative
rest my iphon stil no text dear @apple y no lov y restrict on my sms y no text #ios5 #ios5atemydingo,negative,negative
why the fuck dos my phon decid it just gann freez every tim i try to upd it so fuck sick of @apple,negative,negative
oh @apple stev obvy had noth to do with iphoto as it the perfect opposit of ins gre get it fix pleas,negative,neutral
@apple you do real yo just real piss off the custom bas as wel as look petty,negative,positive
lie @apple the battery on thi new iphone4s is definit not any bet,negative,negative
my schedule is 2 busy 2 spend unq tim with @apple 2 recov iphon again-the mo mobl i get the mo immobl i is synt not,negative,negative
u201c i real hat deal with the brain dead peopl at the @apple stor for such good produc custom serv sucksu201d in nz,negative,negative
@apple you know the issu they hav with dst and alarm :p,negative,neutral
doe tak bet qual photo than @apple iphon though i giv them that #photograherseye,negative,negative
hmmmm a lot of #siri feat dont work in canad loc and direct sery @apple com on,negative,negative
dear @apple why you gott go chang the way &lt;input type=number&gt; is handl out of the blu,negative,neutral
it surpr me that @apple throws up an er alert about auth and ther no auth thi comput button,negative,positive
no but i hav the opt of a replac iphon 4s nnot sur if i want on aft hav 2 duff iphonesn @apple,negative,neutral
i upd to io 5 and los everyth on my phon and it wont let me sign into my itun account thank @apple,negative,negative
i know a few oth hav sam issu rt 9% now on my second ful charg of the day piss @apple,negative,negative
just when #tomcruise thought he had a un nam for his daught @apple pul the rug out from und him with the new #siri ap,neutral,neutral
iphon 4s: setup sir for yo tweet url @apple #apple #iphone #siri,neutral,neutral
